Token,Section,Matched Token,Similarity,Object ID,Title Text,Section ID
wallpap,Architecture and Naive Art,wallpap,1,29580,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,20571,Wallpaper for Bandbox Covering,2
wallpap,Architecture and Naive Art,wallpap,1,20575,Wallpaper Used as Bandbox Covering,2
wallpap,Architecture and Naive Art,wallpap,1,19962,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,19963,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29158,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29164,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29413,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29633,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,74867,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29584,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,20462,Wallpaper from Bandbox,2
wallpap,Architecture and Naive Art,wallpap,1,20569,Wallpaper from Bandbox,2
wallpap,Architecture and Naive Art,wallpap,1,20580,Wallpaper from Bandbox Cover,2
wallpap,Architecture and Naive Art,wallpap,1,28564,Wallpaper from Bandbox,2
wallpap,Architecture and Naive Art,wallpap,1,29166,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,15596,Pa. German Wallpaper Box,2
wallpap,Architecture and Naive Art,wallpap,1,29474,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29582,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29574,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,20581,Wallpaper from Bandbox Covering,2
wallpap,Architecture and Naive Art,wallpap,1,28834,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29569,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29570,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29571,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29565,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29471,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29581,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29567,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29155,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29157,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29445,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29468,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29566,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29573,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29470,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29473,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29564,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29576,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29572,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29579,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29631,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29568,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29156,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29472,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29575,Wallpaper,2
wallpap,Architecture and Naive Art,wallpap,1,29577,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29583,Wallpaper Border,2
wallpap,Architecture and Naive Art,wallpap,1,29632,Wallpaper,2
bit,The Art and Design of Utopian and Religious Communities,bit,1,26713,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26710,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,21095,Bit Brace,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26709,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26714,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26715,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26729,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26730,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26731,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26733,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26712,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,21198,Cowboy's Hackamore Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,21199,Bridle Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26691,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26697,Bit,1
bit,The Art and Design of Utopian and Religious Communities,bit,1,26698,Wrought Iron Bit,1
